#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
AT000501,166.5,71.4,21.8,17.7,23.2,30.2,23.9,38.9,40.2,25.5,39.8,30.3,26.6,98.4,93.9,55,38.9,101.1,133.1
AT000601,165.5,59,19.8,16.8,25.9,30.5,24.2,34.9,47.3,27.1,35,27.5,25.7,89.5,85.4,50.4,36.5,97.6,130.6
AT000701,160.7,50.4,18.1,17.1,24.6,26.4,23.4,34.8,41.4,25.1,34.5,25.9,23.9,87.3,79.5,50,33.7,95.1,125.4
AT000801,162.1,62.5,22.2,16.5,24.1,29.6,23.8,35.3,37.3,25.2,39,32.1,25.5,99.6,90.1,51.5,35.3,97.8,129.4
AT000901,172.5,77.5,26.2,17,24.3,30.6,23.9,38.9,39.7,26.3,38.7,32,28.8,101.8,95,54.9,40.4,102.9,138.5
AT001001,169.3,65.8,25.4,18.2,25.5,30.6,25.3,38.8,42.1,26.3,36.8,27.9,26.1,93.7,82.7,54,35.8,101.9,135.9
AT001101,176.8,76.2,26.5,18,25.8,32.9,25.7,37.6,39,25.3,39.5,30.1,26,95.6,90.2,53.8,35.3,106.1,142.5
AT001201,166.7,54.3,14.9,17.4,24.2,29.6,24.1,36.5,38.4,25.6,35.1,26.7,24.1,83.1,83.3,47.9,36.4,98.6,130.4
AT001301,172.6,73.9,24.6,19.3,24.5,34.5,25,38.7,38.9,23.3,38.7,32.3,27.5,99,92.8,55,38.5,100,137.7
AT001401,180.9,74,19.3,19,25.8,31.2,25.2,40.2,40.8,24.3,35.7,29.5,25.1,94.5,99.4,56.3,40.1,111.3,146.7
AT001501,168.5,71.9,28.5,17.3,24.3,31.1,23.4,38.4,36.7,23.3,39.3,30.1,28.2,98,88.2,54.3,38,102.4,135.3
AT001601,174.6,79.4,21.6,19,25.5,29,26,37.5,47.3,27.7,38.7,32,29.4,99,86.5,57.9,42.6,109.2,138.2
AT001701,169.1,55.7,17.4,17.8,25.6,31.4,24.4,37,37.8,26,33.4,23.7,23.3,86.6,74,50.4,35.5,101.5,135.8
AT001801,150.3,52.1,28.4,17.4,20.8,25.8,21.9,33.7,36.9,23.4,32,25,22.1,88.3,89,54,35.4,91.6,117.6
AT002001,161.5,49.7,12.3,18.3,23.2,31.3,24.2,36.4,36.5,23,32,24.3,22.9,82,77.3,45.9,33.5,98.2,132.2
AT002101,161.5,58.3,18.3,16.9,25.2,30.7,24.3,34.4,34.4,25.9,36.3,27.5,25.4,90.8,81.5,53.3,34.2,93.4,127.2
AT002201,161.2,55.2,17.1,17.8,24.3,31.3,24.5,35.7,36.3,23.5,37.6,26.3,24.8,91,87.5,48.5,33,96.3,129.2
AT002301,165.3,71.5,28.7,18,24.9,30.7,24,36.3,42.9,23.5,38.3,30,28.6,98.5,95.5,54,36,98.7,133.6
AT002401,165.8,62.6,16.6,17.9,25.1,30.5,24.5,35.2,38.3,22.2,36.7,24.4,23.6,95.6,89.4,48,34.7,101.1,133.3
AT002501,165.1,62.4,16.9,18.5,24,28.9,23.9,35,40.3,24.2,37.7,27.3,26,94.8,82.2,50,35,108.8,132.9
AT002601,155.3,47.5,15.9,18,23.2,29,23.4,35,42.2,25,33.5,25.7,24.6,89,77.2,43.6,32.1,96,126.2
AT002701,163.7,55.2,16.3,17.2,24.8,29.5,23.3,34.5,35.1,23.5,36.6,25.4,24.1,88.7,85.2,45,32.4,99.3,132
AT002801,165.9,68,24.6,18.8,24.8,31.7,25.6,36.1,36.5,21.5,39.9,30.3,26.4,96,93.3,48.3,33.5,98.2,133
AT002901,160.7,62.7,31.4,17.7,23.5,29,23.3,36.1,40.5,23.7,34.8,31.7,23.7,93.1,97.8,55.2,36.2,96.8,127.3
AT003001,156.3,65.6,35.2,17.7,24,28,22.4,33.6,42.2,22.9,35,29.5,25.2,95,93.2,54,37.1,93.8,125.5
AT003101,159.6,51.3,14.1,18.7,25.5,27.2,23.3,33.5,38,23.8,35,25,23.3,91.8,87.3,46.2,30.9,91.5,123.4
AT003201,147.7,51.8,29.6,16.7,21.6,27.6,23.3,34.4,38.2,22.7,31.4,27.3,21,89.3,96.3,52.7,33.1,89.9,118.8
AT003301,158.4,47.1,13.6,17.5,23.9,30,24,34.3,38.7,22.9,34,24.3,22.5,87,77.2,43.1,29,102,129.9
AT003401,162.6,58.9,13.4,17.4,24.2,28.6,24,36.8,37,22.6,39,27,24.2,94.7,89,50.3,38,98.8,130.1
AT003501,150.2,68.8,36.2,16,23.1,27.4,22.4,33.3,33.5,21.7,34,34,26.3,95.7,105.5,59.9,38.7,91.7,121
AT003601,157.9,54.5,15.1,15.5,21.6,28.2,23.8,32.6,37.2,25.6,35.1,24.3,24.8,87.5,77.3,47.3,35.1,94,126.4
AT003701,154,44.1,19.1,16.7,23,30.3,22.9,33.8,37,22.8,30.6,25.3,21.8,79.9,79.9,44.8,31.3,93.8,124.2
AT003801,156.9,54.2,24,17.3,24.2,30,23.9,36.8,37.3,22.2,32.5,25.6,20.9,83.7,92,50.3,32.4,93.7,126.2
AT003901,154.8,62.2,19.3,19,23.6,28.4,24.5,32.2,41.4,25.2,37.4,31,27.2,97,92,49.7,36.6,92.7,124.1
AT004001,160.2,48,12.3,18.2,23.5,30.5,23.5,35,38.9,23.8,35,25.5,22.2,85.3,81.7,42.3,30.5,93.8,128.3
AT004101,161.5,63.4,22.2,17,24.6,29.4,23.8,35.7,38.9,23.3,38.3,27,25,92.2,91.5,51,35.2,98.3,129.6
AT004201,158.7,55.9,17.3,17.2,23,29,25.2,34.3,35.6,24.3,35.7,26.5,23.3,91,88.9,46.9,34.5,93.9,129.3
AT004301,165,51,13.1,17.7,24.3,31.4,24.1,35.7,39.2,25.7,35.5,24.7,24,87.7,76.5,44,33.3,95.7,129.8
AT004401,166.1,56.3,18,18.5,25.8,32,25.7,37.6,38.9,22.7,36.5,26.3,24.2,88.7,82.5,45.3,34,101.5,134.3
AT004501,165.5,61.9,20.8,19.5,23.9,29.8,24.8,33.4,42.8,23.9,35.6,29.8,25.5,89.1,89.4,50.3,35.8,96.8,132.7
AT004601,160.2,51.9,21.2,17,22.8,29.5,22,36.5,39.1,27,31.5,25.8,22.3,80,82,52.5,34.5,94.3,125.6
AT004701,143.8,56.2,34,15.9,20.6,25.8,20.9,30.9,31.1,23,36.1,31.8,24.5,93,89.2,53.8,37.6,90.9,116.8
AT004801,155.3,50.2,17.1,16.7,23.8,29.2,23.2,35.9,36,21.5,35,26.1,23,85.2,82.6,42.7,34,97.1,128.1
AT004901,155.1,38.3,8.1,17.8,22.9,28.5,22.3,33.8,39.4,22.9,32.5,21.5,20.5,74.5,72.4,40,28.2,93.3,125.9
AT005001,154.6,51.5,28.8,16.8,21.9,29,23.1,34.1,36.7,23.9,32.1,26.8,22.6,81.9,94.6,52.1,32.6,91.2,122.9
AT005101,151.2,47.5,24.7,15.1,21.7,28.5,22.3,33.4,38.3,22.3,31,25.3,21.3,84.7,86.8,47.3,32.7,86.5,117.9
AT005201,165,62.1,22.2,19.6,22.9,30.2,24.3,35.7,43,26.4,40,30,25.8,94.8,93.7,47.2,31.3,98.7,132
AT005301,162,71.7,21.9,18.2,23.3,31.3,25.9,38.7,39.3,23.4,39.4,27.7,27.3,99.2,96.4,51.5,35.7,97.9,131.9
AT005401,161.3,50.8,15.4,18.6,23.1,30.4,22.3,36,41.2,23.8,34,26.6,23.2,85.8,80.7,46.3,32.3,96,129.6
AT005501,159,61.2,19.7,16.7,23.3,30,23.5,32.9,34.9,23.8,37,28.5,24.7,90.6,86.7,52,35.9,95.8,126.1
AT005601,150.9,51.3,30.8,16,22.1,26.7,21.8,32.7,37.8,21,33,28.5,22.1,85.5,85.4,49.5,31,92.8,123.7
AT005701,146.8,60.2,42.6,17.2,20.6,26,21.2,32.9,34.5,24.8,32.5,32,24.8,98,94,51.8,35.2,91.9,117.1
AT005801,160.1,62.8,22.4,19.5,23.7,29.9,23.3,36.5,42.6,23.6,35.3,29.8,24.4,96.1,91.2,50.3,33.9,96.6,130.3
AT005901,162.4,62.7,27,19.6,22.3,29.3,23,34,41,26.3,37,31.8,26.2,91.8,93.4,52.1,33.4,97.3,127.5
AT006001,163.7,61.6,23.1,18.1,25.3,33.3,23.1,36.3,37.4,25.3,38.5,24.5,25.6,92.6,90.8,48.8,33.1,96.1,134.4
AT006101,145.2,57.7,35.9,16.6,21.2,29.1,21.6,31.5,31.9,24.1,33.2,28,23,89.2,97.2,57,33.9,84.4,116.8
AT006201,155.8,48,27.5,17.3,22.3,32,22.5,36.3,38.8,21.5,30.3,25.9,21.5,81.8,88.9,52.3,31.5,92.8,126.9
AT006301,163.2,64.5,14.6,16.6,23.8,29.5,23.9,36.2,36.6,24.5,35.8,27.9,25.9,92.5,86.6,53.3,38.6,98.6,129.1
AT006401,161.3,55,20.7,17,23,29.8,23.8,36.2,36.7,23.4,33.8,25.9,24.2,89.5,86.8,46.8,33.1,97.7,130
AT006501,154.9,55.1,30.5,15.4,23.2,29.7,21.5,35,36,21.8,32.5,26.6,21.4,88.2,86,47.1,34,92.8,124.6
AT006601,156.4,54.4,29.4,16.7,22.8,30.1,22.5,35.1,40.5,24.6,33.9,28.6,22.6,85.5,90.4,50.9,33.9,93.2,124
AT006701,145.3,56.6,34.4,16.4,19.7,27.9,21.5,33.1,34.3,22.2,34.3,29.5,23.1,94.5,97.9,52.5,33.5,88.1,115.7
AT006801,145.2,47.4,27.6,14.9,20.8,28.1,20.5,31.8,33.6,23.8,29.7,27.7,21.8,84.1,89,52.9,34.9,84.6,114.7
AT006901,156.9,55.2,22.3,18.8,21.6,29,23.8,35.6,40.4,24.3,36.5,25.8,22.2,90.7,86.9,47.2,32.6,95.4,123.7
AT007001,143.6,50.8,28.3,16.1,20.5,27.7,21.6,33.3,36,21.4,33.3,27.5,22.6,88.4,89.4,53.3,35.6,88.7,116.9
AT007101,149.9,46.2,27,17.1,22,27.8,21.7,33.7,35.2,22.5,32.2,24.9,21.5,83.8,89.3,48.6,31.8,89.9,119.6
AT007201,144.5,46.8,27.2,16.2,20,27,21.4,31,36.6,20,31.4,27,22.3,83.9,86.8,48,31.8,89.1,115.8
AT007301,164.2,61.5,21.1,19.3,23,30.7,24.6,36.9,41.9,24.1,38.6,28.9,26.5,92.4,86.3,48.5,34.1,98.1,131.3
AT007401,164,61.5,20.4,17.8,23.7,30.9,23.5,36,39,24,36.5,28.7,25.2,87.8,86.6,51,33.1,101.6,133.5
AT007501,164.9,51.4,12.5,19.1,25,32.9,25.5,36.1,38.8,24.5,33.3,23.7,22.9,90.7,81.6,45,32.1,97.9,133.8
AT007601,143.4,40.8,23.4,15.3,21.1,30.1,20.3,33.7,39.8,20.9,29.7,24.3,18.8,73.5,70.3,47.8,29,82.5,115.1
AT007701,164.3,52.6,13.6,17.7,24.8,31.4,24.7,37,38.3,25.1,35.6,26.7,23.9,86.8,77.3,45.2,32.4,,
AT007801,155.5,50.8,19.6,18.7,22.9,28.3,22.7,34.4,41.4,22.6,34.9,26.5,23.5,87,88.7,49,32.4,,
AT007901,159.4,53.3,18,17.8,22.7,32.2,23.2,36.4,36.5,23.7,33.6,24.8,23.8,89.8,83.9,48.2,35,,
AT008001,164.8,77.7,27.8,17.4,24.1,32.4,24.5,35.6,35.8,22.3,41.7,28.9,27.5,103,97.7,57.5,39.3,,
AT008101,154.4,46.6,16.9,16.5,22.5,31.5,22.7,33,36.4,22.4,32,24.5,21.4,83.6,81,42.3,30.7,,
AT008201,156.6,40.9,9.1,19.2,22.6,28.5,23.3,34,40.7,24.4,31.3,21.6,21.1,82.6,76.5,40.9,29.8,93.8,125.5
AT008301,158.8,54.3,15.6,19.4,22.5,30.3,24.5,34.7,43,24.3,35,26.8,24.7,86.5,85,48,34.6,,
AT008401,156.8,62.5,36.2,17,24.3,29.5,22.5,35.2,38.8,24.4,32.7,29.7,23.6,92.3,101.3,57.2,34.6,,
AT008501,159.6,53,15.3,18.9,24,30.2,24.3,37,40.8,23.1,35.6,24.6,23.5,91.6,84,45.7,32,,
AT008601,150,48.2,27.5,16.4,20.4,30,21.3,35.5,37.9,22.9,36.9,24.5,22.5,82.5,84.8,46.9,31.2,,
AT008701,157.3,61.7,23.9,17.3,20.3,30,22.9,34.7,42.4,22.8,38.8,28.3,25.6,88.8,86.5,52.3,36,,
AT008801,159.4,66.5,22.2,18.4,23,28.8,23.9,36.2,39.5,23.5,38,29.3,25.7,97.1,101.4,51.3,38.6,,
AT008901,153.3,71.3,27.4,18.2,21.7,27.9,23.3,33.7,36.1,22.5,37.8,28.4,25.3,102.4,103.5,49.5,37.3,,
AT009001,160.6,55.1,17.8,17.8,23.1,30.6,24,34.4,37.2,22.1,35.6,28.1,24.8,92,82.8,45.7,32.7,,
AT009101,147.7,47.3,29.9,16.3,20,30.2,22.3,31.5,39.2,23.1,33.2,27.3,21.9,83.7,87.4,48.7,30.3,,
AT009201,168.4,65.4,21.6,19.7,24.3,31.7,24.4,36,41.1,23.1,38.8,27.6,23.7,95.4,94.2,49.7,35,,
AT009301,154,45.2,5.5,16.3,23.2,29.6,23.3,30.8,36.9,26.7,33.5,22.8,23,80.4,74,44.1,34.9,,
AT009401,141.4,46.3,28.6,17.3,20.5,30.1,22.1,30.9,36.8,19.3,32.7,24.5,21.3,80.7,88.6,47.9,30.2,,
AT009501,159.8,49.6,13.1,17.7,22.9,31.4,23.3,35.6,36.2,24,35.4,23.7,22.8,84,84.7,44.2,31.9,,
AT009601,162.9,62.6,20.5,17.5,22,31.2,24.3,34.6,43.7,25,37.1,30.7,26.6,97.9,90.2,48.8,36.2,,
AT009701,162.3,54.4,20.6,18.5,23.9,31.6,23.5,35.4,41.5,23.2,36.2,26.9,24,89.8,84,44.8,30.8,,
AT009801,166.1,51.8,15.1,19,24.2,31.7,23.9,36.9,42.9,24.1,32.7,25.6,24.6,83.8,87.6,46.6,32.9,,
AT009901,152.9,45.7,23.3,17.3,21.4,26.9,21.1,34.8,35,26.1,30.6,25.8,22.4,85.6,87.7,46.1,29.7,88.7,120.1
AT010001,157.7,58.9,22.3,17.4,21.1,29.7,22.6,34.3,39.4,24,36.8,28.5,24.5,92.5,91.4,49.3,34.3,,
AT010101,163.1,56.3,21,16.9,23.3,32.2,23.1,36,42.1,24,35.1,26.7,23,86.2,78.2,48.4,33.2,,
AT010201,157.8,49.5,13.9,18.4,23.3,29.3,23,35.5,36.6,25.1,34.2,24,23.5,87.2,81.4,43.6,32.9,,
AT010401,158.3,54.9,23.7,17.6,24.3,30,23.3,33.6,35.2,23,34.9,27.5,22.7,81.3,86.7,49.9,32.3,,
AT010501,167.9,77.5,25,19.2,24.9,32.9,25.9,36.8,41.2,24.6,38.7,30.6,26,99.5,102.6,53.8,38.1,,
AT010601,153.4,49.6,18.7,18,22.2,29.5,23,33.7,38.6,23.3,34.7,25.2,22.9,91.4,82.3,46.7,31.6,,
AT010701,140.7,46,28.2,16.5,19.7,28.1,21,31.8,32.4,20.5,32.8,24.2,19.6,85.9,87.5,46.8,31.6,,
AT010801,159.1,47.2,16.6,16.6,21.6,31.4,23.2,32.3,37.6,23.2,36.6,23.3,21.2,79.7,77.4,43.8,29.2,,
AT010901,153.2,61.5,25.6,18.2,23.2,29.6,23.3,36.3,39.9,24.3,35.7,28,25.8,98.5,88.5,52.5,35.1,,
AT011101,170.8,73,21,19.5,24,32.7,23.7,38.1,41.8,24.8,38,28.2,26.7,98.8,90,55.6,38.7,101.6,137.7
AT011201,168.6,47.5,8,18.5,25.2,31.6,24.6,39.4,39.9,26,33.3,22.4,23.1,85.6,81.1,41.1,32.5,101.9,134.9
AT011301,163.2,60,18,17.9,21.8,28.2,23,36.5,37.8,25.8,38.1,26.1,24.7,94.3,87.6,50.1,35,101.9,131.4
AT011401,161.6,61.5,26,16.9,23.7,31.1,23.1,36.4,44.6,24.5,34.3,29.1,23.7,93.1,82.4,56.2,37.1,96.3,130
AT012101,158.6,55.5,18,18.6,23.1,29.7,24.4,35.6,39.5,21.5,35.8,26,23.6,87.4,84,48.4,36.2,96.6,126.8
AT012201,147.1,49.7,25,17.2,18.5,27.2,21.6,32.6,35,23,33.1,28,22.5,88.6,88.5,49.6,33.4,85.5,116.6
AT012301,165.7,57.2,14,20,24.2,31.9,25.2,37.2,43.6,25.5,36,26,23.5,89.5,84,47.6,33.8,99.6,133.6
AT012401,159,45.1,,17.9,23.8,29.7,22.5,37.5,39.2,23,31,20.6,20.6,76.9,79.7,42.1,32.9,97.1,129.3
AT012501,139.2,40.2,25,16.1,19,26.4,20.3,30.2,35.6,21.8,30,24.2,19.5,83.8,86.1,45.2,29,84.6,111.3
AT012601,160.2,54,19,19.2,24,31.5,25.3,37,43.5,26,38.3,25.7,23.4,89.5,82.2,46.1,31.2,95.6,129.8
AT012701,162.6,59.5,27,18.1,22.9,29.4,23,36.7,41.5,25.2,31.6,27.4,22.9,92,95,51.3,34,98.6,129.8
AT012801,162.5,66.9,23,18.7,23.7,29.7,23,36,38.4,24.8,37.9,25.6,23.5,94.5,101.7,50.1,34.5,102.6,133.5
AT012901,148.1,65.5,46.3,17,21.6,26.8,21.5,33.3,34.6,22.5,35.6,31.3,25.6,97.5,108.6,55.3,35,89.5,119.2
AT013001,170.7,69.1,21,19.7,23.7,32.8,24.6,38.8,43.6,24.9,37.8,29.4,26.9,95.2,86,53.3,36.3,102,138.5
AT013101,148.6,40.9,18,17,19.7,27.9,21.7,33.1,36.9,23.8,31.5,21.7,21,79.3,80.4,45.9,30.8,89,117.6
AT013201,146.9,41.8,20,17.5,20.3,28,21.2,31.9,37.8,21.6,33,23.3,20.6,78.8,86.6,45.4,29.6,86.3,117.6
AT013301,147.9,39.3,14,17.5,22.5,29.6,22.1,33.8,39.1,23.6,31.8,20.8,19.9,80.4,83.5,42.6,29.1,86,118.6
AT013401,159.4,42,9,18,23.2,29.9,24,35,42.4,22.3,31.2,21.6,22.4,79,70.6,41.2,30.7,92.9,126
AT013501,142.4,40.4,24,17.2,20,27.6,20.9,33.7,35.4,22.5,29.2,24.8,19.5,78.1,92.7,45.5,28.9,80.6,110.6
AT013601,145.5,56.3,35,16.6,21,27,20.8,33.5,35,21.5,33.4,27.7,23.6,97.9,99.7,50.7,36,88.5,117.1
AT013701,152.1,55,31,18.7,22.5,27.4,22,34.7,37.4,22.2,31.7,28,23.7,90.1,95,49.8,36.1,94,124.5
AT013801,151.8,44.6,17,17.7,21.7,30.1,21,34,39.5,23.2,33.6,24.6,22.4,86.7,77.2,44.2,31.8,92,119.8
AT013901,145.8,49.9,28,17.5,20.6,27.5,22.2,34.5,36.7,22.1,32.4,28.3,21.8,90.6,91.7,50.2,31.6,87.9,118.4
AT014001,148.9,39.3,9,17.5,21.6,26.5,21,32,40.4,22.9,32.9,22.7,22.1,79.4,71.5,42.5,29.8,91.7,121.7
AT014101,150.2,52.3,32,17.3,20.5,26,21.8,33.9,38.7,23.6,30.6,26.9,22.2,87,96.3,54,33.1,92.2,120.2
AT014201,153.3,59.7,25,18.3,21.2,29.1,22.9,37.2,38.2,22.7,34.2,27.1,23.7,90.8,94.9,51.9,37.2,91.4,123.5
AT014301,148.9,53.3,33,16,20.5,28.6,20.3,33.5,40.5,23.5,32.5,27.1,23.9,88.2,91.7,51.6,33.3,89.1,119.4
AT014401,148.3,63.6,39.7,17.5,21.2,28.9,22.6,35.3,38.1,20.4,37,32.2,27.3,97.6,102.9,54.5,35.6,89,120.5
AT014501,168.4,57.2,16,17.1,23.6,30.6,22.8,36.8,43,24.7,35.8,26.2,24.7,90.8,82,46.9,32.7,98.9,133.6
AT014601,165.3,68.6,26,18.5,24.5,29.2,23.4,37.1,43.5,24.2,38.1,30.2,26.6,96.8,90.2,54.8,36.8,99.9,132.6
AT014701,147.8,51.4,28,17.7,21.9,28.4,22.6,35.4,41.4,20,32.7,25.5,22.5,90.4,95.2,49.4,33.1,88.2,119.4
AT014801,144.8,55.1,34,17.3,20.7,27.1,21.6,34.5,37.7,21.5,33,28.7,23.2,90.2,98.6,55.9,34.4,83.8,114.6
AT014901,145.9,50.2,29,17,22.1,28.2,21,33.6,39.9,23.3,33.5,25.2,22,90.9,93.6,46.5,32,84.5,115.5
AT015001,165.5,66.2,25,19.3,23.6,31.8,23,35.8,44.1,23.2,37.3,28.2,27.8,95,88.8,50.5,34,100.5,135.4
AT015101,154.2,64.3,33,17.2,22.9,28.6,24.5,36.2,36.1,23.4,33.2,29.4,24.9,95.3,102.9,53.2,36.9,92.2,123.6
AT015201,160.6,56.1,15,17.4,23.5,28.5,23.6,36.1,45.9,24.1,36.5,26,24.4,89,86.4,45.6,32.5,97.7,130.9
AT015301,160,54.6,19,18.8,21.7,31.3,23.2,36.6,43.2,24.9,35.7,25.3,22.9,87.9,87.9,42.8,33.7,93.6,128.2
AT015401,169.4,61.7,17,18,23.7,30.6,23.8,39.5,43.1,24.2,37,25.9,23.4,88.3,85.4,48.6,32.9,103.6,137.2
AT015501,156.3,62.9,35,18.7,22.9,30.7,24.2,36.6,42,21.7,37.6,26.3,25.1,97.1,94.8,53.3,35,93.2,126.8
AT015601,160.8,67,24,18.5,22,29,23.7,35.4,40.7,24.8,38.7,29.8,27.3,98.4,99.3,53.6,36.9,96.5,129.7
AT015701,168,61.9,14,18.8,23.3,31.9,24.8,38.8,41.5,25.7,36.5,27.9,24.6,89.8,85.5,50.8,37.2,100.9,134.7
AT015801,154.1,52.4,29,17.4,20.8,29.7,22.3,34.6,40.6,22.6,34.1,23.8,21.6,94.8,94,48.4,29.9,91.7,124.7
AT016101,147.5,56.3,29,17.3,20.2,26.6,21,32.7,37.2,24.3,33.1,28,24.6,89.3,93.7,54.5,37.9,88.8,118.9
AT016201,151.6,42.2,23,17.6,21.1,29.2,22.3,34.7,41,24.3,30.2,22,20.9,78,77.4,46.9,30.7,89.1,119.9
AT016301,157.2,56.2,32,17.9,22.9,30.3,22.8,36.9,43.8,24.3,30.6,26.3,22.3,88.1,91.9,54.6,35.7,94.4,127.3
AT016401,149.1,40.2,16,16.6,19.3,25.5,21.2,32.3,36.3,25.5,28.3,22.3,21,76.6,74.6,46.3,33.4,90,117.7
AT016501,157.9,41.9,18,17.8,22.9,29.1,22.4,35.8,38.3,26.3,29,22.1,20.7,78.6,78.5,46,31.6,92.9,125.1
AT016601,154.4,50.4,25,17.2,21.9,29.5,21.8,36.1,40.7,24.3,30.6,24.6,23.1,86.7,87,50.9,33.4,92.2,124.1
AT016701,156.5,49.8,26,17.6,23.1,26.6,23,36.1,39,24.5,31.7,24,22,82.7,88.7,52.5,31.2,94.8,124.1
AT016801,150.7,35.8,14,16,20.1,25.2,21.2,33.6,36.2,24.7,28.5,20.9,19.1,74.5,71.5,44.6,30.2,89.3,117.5
AT016901,163.3,48.4,19,17.3,21.2,28.6,22.6,35.5,42,25.1,30.1,22.1,20.6,80.5,81.6,51.1,32.6,99.4,130.9
AT017001,157.9,51.8,28,19,23,29.9,23.3,36.8,41,23.5,31.5,25.3,23,86,83,52.8,33.4,92.9,125.6
AT017101,168.4,58.9,21,19,23,31.6,24.9,36.4,44.4,26.3,35.1,27.6,25.7,91.2,77.7,53.7,34,101,135.6
AT017201,155.6,41.3,18,17.5,22.3,28.7,23.3,34.9,42.4,23.7,28.3,21,20.8,78,77,47.3,31.8,94.7,126.4
AT017301,154.2,52,28,17.9,21.6,29.2,23.3,34.5,41.7,24.9,31.5,27.1,23,87.3,87.5,52.3,36.4,91.2,122.8
