#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
AT017401,165.7,56.2,17,19.7,24.2,29.6,24.2,38.4,42.8,26.4,34.8,24.6,24.5,83.1,81,51,36,97.9,131.4
AT017501,161.7,50.2,22,17.1,22.2,28.1,22.3,36.3,39.8,24.3,29.8,23.3,22,89.9,80.9,52.4,34.3,97.5,128
AT017601,166.9,61.6,24,17.8,23.1,30,23.4,38.2,42.9,24.3,33.6,29.7,24.5,90,81,54,35.3,102.3,135
AT017701,156.2,72.2,39,17.4,22.2,29.2,22.3,36.6,39.8,22.3,34.1,28.9,22.8,101.1,108.1,52.4,37.4,95.3,127.8
AT017801,174.4,93.8,27,19.4,26.6,33,25,41.5,46.2,22.7,43,32.8,30.4,107.2,101,62.8,44.5,107.6,144
AT017901,170.6,65.3,23,18.4,25.1,31.5,23.8,39.4,42.6,24,36.6,26.4,24.8,92.2,87.4,51.8,34.7,104.3,140.1
AT018001,150.2,38.9,18,16.6,20.3,27.5,21.3,33.4,40.8,24.2,28.9,21.2,20,74.8,75.7,45.3,30.5,90.1,120.5
AT018101,157.3,44.3,21,17.4,21.6,29.3,22.5,35.7,43.1,23.8,30.5,23.8,21.1,79.1,82.1,48,30.7,92.4,124.9
AT018201,180.7,59.4,12,18.5,25.7,32,25.4,40.6,45,25.4,35.5,26.1,25.2,87.5,71.4,51.1,35.2,109.4,145
AT018301,177.6,67.6,19,20.4,24.6,32.7,26.5,40.5,46.6,26,35.8,28.3,25.7,94,87.2,51.7,35.4,106.9,143.3
AT018401,153.8,48,25,17.5,22.2,31.1,22.8,36.4,39.2,24.8,29.9,22.7,21.9,84,85,51.7,34,92,124.8
AT018501,165.8,60.8,25,18.3,22.6,29.5,23.4,37,41.9,24.7,33.1,26.2,23.2,88.4,91.3,54.6,36.5,98.8,131.9
AT018601,176.6,63.4,18,18.8,26.3,32.3,24.6,39.8,46.4,27.6,35,26.4,25.6,92,82.7,53.3,36.3,105.4,141.2
AT018701,166.4,52.4,14,18.5,23.8,29.6,24.2,38.2,40.8,23.9,33.7,24.5,24,81.6,76.8,47,34.9,101.2,133.8
AT018801,147,62.2,39,17.2,21.1,28.2,21.8,34,35,21.8,35.5,27.7,24.3,96.6,102,56.4,36.5,89.4,120.6
AT018901,158.5,48.9,23,18,22.4,28.8,22.1,35.6,39,25.8,30.6,23,21.1,82.6,84.5,49.9,32.7,94.8,126.2
AT019001,173.1,91.5,31,19.8,25.3,32.4,24.6,40.7,44.4,24,40.6,31.7,29.5,113.5,101.2,60.1,41.2,105.5,139.9
AT019101,153.9,45.9,16,17.6,22.6,29.6,22.4,35,41.5,24,34.2,24.6,24.1,83.7,71,45.3,31.3,90.9,124.7
AT019201,181.1,132.1,42,19.7,26.1,32.9,26.9,40.5,43.5,26.6,49.1,41,34.7,129.2,122.2,70.2,49.4,112.3,148
AT019301,165.2,52.1,13,18,23.4,27.9,24.9,37.9,42,25.4,34.5,25.7,23.6,83.5,76.6,48.2,34,99.5,130.4
AT019401,156.4,41.6,22,16.1,21.7,28.4,22.3,35.5,40.3,25,28.6,20.9,20.4,76.3,79.4,46.8,29.1,93.6,124.2
AT019501,151.2,48.8,28,16.9,21,28.1,21.4,33.8,39.3,22.4,32,24.5,22.3,87,87.3,49.1,33.5,88.3,119.2
AT019601,156.7,42.9,20,18.1,22.3,30.2,22.3,35.7,42.4,24.7,29.4,20.6,20.1,83.3,72.1,47,30.4,92.5,125.8
AT019701,160.2,51.8,23,19.2,21.5,29.5,24.7,36.7,40,25.2,33.4,24,22.5,86,80,52.2,34.8,97.3,130
AT019801,157.7,46,22,16.6,21.2,27.5,21.3,35.8,41.1,24.1,30.1,22.7,22.4,79.8,73,51.1,34.1,96.5,126.9
AT019901,166.9,69.8,38,18.6,23.6,30.7,24.4,39.8,41.8,24.4,34.6,30.1,26.1,98.8,93,58.3,37.3,100.9,134.4
AT020001,171.2,68.1,26,19.2,24.7,31.8,25,40.7,43,25.2,37.3,27.1,26.5,95.5,85.2,54.4,37.4,100.7,136.8
AT020101,160.2,72.5,27,17.7,23,28.4,22.4,38.4,39.3,23.2,38.4,30.4,29.2,100.8,96.5,57.3,44.7,97.7,129.1
AT020201,162.9,59.3,25,19.1,23.6,30.2,24.3,37.6,42.9,24.2,36,27.5,25.4,93.1,83.8,51.8,36.1,97.1,131
AT020301,180.4,65,17,20.7,26.8,32.9,26.3,42.5,49.4,27.1,34.6,28,27.5,89.3,81.8,53.3,35,109.7,146.7
AT020401,155.6,55.4,33,17.5,23.3,28,21.6,36.4,39.7,23.5,32.2,25.5,23.1,88.6,88.3,53.2,35.4,93.9,124.6
AT020501,159,41.9,14,18.5,22.3,28.5,22.9,37.2,41.1,25.5,28.7,20.9,21,74.6,66.1,46,31,96.9,128.5
AT020601,172.4,80.4,26,18.6,25.2,33.3,24.8,39.8,45.3,23.9,38.7,31.3,26.1,102.4,101.3,62.5,40.3,103.2,140.1
AT020701,179.8,79.7,22,18.8,25.7,32.9,25.5,41.8,46,25.6,38.8,29.1,28,94,93.9,59.2,38.4,110.1,147
AT020801,177.3,59.6,14,19.3,25.5,31.9,25.2,40.8,45.3,28,34.8,24,24.1,88,75,49.2,34.6,103.8,139.1
AT020901,178,58.6,11,19.5,24.5,32.7,24,41.3,43.7,26.1,34.7,24,25.2,88.7,76,47.6,34.1,107.5,143.7
AT021001,163.6,61.2,23,18.8,24.1,30.4,24.5,37.4,41.5,25.9,37.3,30,26.5,91,83,52.2,35.8,97.3,132
AT021101,172.1,77.4,31,19.6,26,32.5,25.7,43.2,43.4,24,39.4,30.9,28.3,102,99,55.2,38.9,103.8,141
AT021201,154.3,48.7,25,17.2,23,27.6,22,36.7,40.8,24,30.8,24.2,22.7,82.4,77.3,54,34.6,92,122.8
AT021301,155.3,51,26,17.4,21.7,27.3,22.1,35.2,40,24.5,30.4,24.5,23.3,83.5,77.4,55.3,34.6,93.2,122.4
AT021401,159.3,56.9,20,18,23.7,29.2,22.8,37.6,41,23.6,35.6,26.4,25.6,91.2,83.9,49.3,36.7,95.2,128.5
AT021501,168.1,63.7,25,20.1,25,31,24.2,42,42.5,24,36.5,26.6,26.7,91.3,83,54.3,36.5,100.4,133.9
AT021601,160.7,57.5,26,17.6,21.9,29.1,22.7,36.2,41.7,25,31.2,28.2,23.8,88.3,86,51.7,37.3,97.8,129.9
AT021701,171.7,55.7,16,18.1,22.7,30.7,24.2,38.3,41.6,25.5,33.6,22.8,22.9,86.4,78.3,48.8,33.4,105.5,140.4
AT021801,173.1,59.6,16,18.8,25.4,31.8,25.2,41.6,46.6,25.7,34.6,25.7,25,91.8,80.8,48.8,36.5,103.5,139.5
AT021901,150.7,43.6,22,15.9,20.2,26.3,21,34.5,40,23.8,29.7,21.8,21.2,84.2,76.8,45.8,32.9,91.9,121.1
AT022001,161.6,63.4,33,17.3,22.5,30.2,23,37.6,43.9,23,33.5,28.9,23.8,102.1,93.8,53.1,34.4,97.4,130.2
AT022101,165.3,54.8,15,18.4,23.6,31.1,25,38.5,44,25.1,36,24,25.4,89.3,73.9,46.1,34.2,99.3,134.1
AT022201,153.8,55.4,23,17.5,21.9,27.4,22.8,35,38.1,23.4,36.6,26.5,24.8,88,87.8,49.2,35,91.6,123.8
AT022301,170.8,64.2,20,19.5,24,31.7,25.8,41,43.9,26.1,36.5,27.8,26.1,93,83.2,55.4,37.9,101.3,136
AT022401,180.2,68.7,24,20.6,28.4,33,26.3,45,46.9,23.9,37.6,26.5,25.8,93,87.4,52.5,34.6,112.3,149.8
AT022501,148,39.3,17,18.3,20.2,25.2,22.7,34.1,36,24.3,29.5,22.7,21.5,75.3,69.1,47.4,30.9,87.7,116.5
AT022601,169.4,56.9,17,19.5,25,31.2,24.8,39,44.9,25.5,34.5,26.7,24.6,87.9,75.2,49,33.7,99.3,135
AT022701,158.8,44.3,23,18.5,23.4,30,23.3,38.1,42.4,23.3,31.5,22.2,20.6,81.5,79.1,45.4,29.5,96.6,130.2
AT022801,178.8,57.8,14,19.4,25.1,32.4,26.2,41.2,49.3,27.9,35.6,25.2,24,93.6,78.7,48.3,34.5,108.4,143.8
AT022901,155.9,50.3,27.1,17.1,22.6,27.9,21.7,36.1,41.9,24.2,30.4,25.8,21.2,84.5,78.2,52.2,32.7,93.5,125.5
AT023001,165.9,60.1,16.6,18.7,24.6,29.5,24.9,36.5,40.4,25.5,36.3,27.4,25.8,90.3,80.3,53.3,36.6,98.3,132.8
AT023101,171.5,79.9,26.4,18.3,23.9,29.1,25.5,39.1,42.3,25.7,41.9,32,29,99.4,91.5,60.6,41.2,105,137
AT023201,161.7,34.4,8.2,18.2,22.4,28.8,22.9,36.3,42.8,26,27,17.3,18.8,75,67.2,41,29.1,95.3,127.7
AT023301,161.5,53.9,27.6,18.1,22.6,29.7,22.7,37.5,43,25.3,32,25.8,22.4,87.8,86,54,33.3,95.9,128.8
AT023401,159.2,59.6,19,17.8,22.1,27.9,23.2,33,39.5,26.4,35.9,29.5,25.8,95.4,87.7,49.6,37,94,125.1
AT023501,175.8,94.9,34.3,19.3,25.8,31.7,25.5,40.4,45.4,24.3,41.6,35.3,29.8,115.1,108.9,60.6,43.8,109.4,144
AT023601,172.9,82,28.1,18.9,24.3,30.9,25.2,40.8,43.5,25.6,41,31.9,28.9,107.2,97,61.5,37.8,106.8,139.7
AT023701,149.1,46.5,28.4,16.9,20.5,24.5,21,32.6,40,24.3,30.5,24.7,22,82.8,73.5,53,33.4,89.4,116.5
AT023801,148.8,36.6,10.6,16.7,21.9,26.8,21.3,34.3,38.8,23,30.6,20.3,20,80.7,71.5,41,27.9,88.9,118.5
AT023901,156.2,53.5,30.3,17.3,21.8,27.1,21.5,34.8,39,24.3,33,26.8,23.1,90.4,85,54.2,31.5,94,124.8
HO000101,154.1,56.4,23.4,17.8,21.6,28,23.4,33,40.6,22,36.1,29,26,86.8,91.8,48.4,35,95,126.5
HO000201,152.9,44.7,21.2,17,22.8,29,23,35.5,35.5,22.5,31,26,21.5,82,89.8,47,30.6,92.5,123.3
HO000301,147.1,55.6,33,17.8,21.3,25,22.9,30,41,24.5,34.8,28.8,24.6,92,95.6,50,34.6,88,117
HO000401,167.5,68.6,27.6,19,26,29.6,25,39.5,43.5,23.5,37,28.8,24.6,99.2,98,50.8,34.4,102.5,138
HO000501,166.3,75,,18.4,23,29,24.3,36.5,38,24,42,33,28,101,96,52.2,37,102,134.5
HO000601,153.7,55.6,30.6,17,22,30,24,36,36.5,23.5,32.8,28,23,89.5,90,47.5,34.5,95,127
HO000701,145.4,47.4,31.9,15.5,20.5,26.5,20,31.5,35.8,23,31.2,23.8,22.2,86,92,48,30.6,86.5,116
HO000801,163.5,61.8,21.1,18,23.5,28,24.7,34,38.7,24,37,27.5,24.4,95,88,47.6,34,98.5,132
HO000901,159.2,65,25,17,23,29.5,25.2,35,37.5,25.5,38.5,31,26,100,91.5,51,36.2,96,126
HO001001,148.6,49.3,28.9,16,20,26.5,22.5,34.5,34.8,24,32.4,25.5,22.5,84,95,49.5,31.5,90,118.5
HO001101,151.2,59.1,35.6,17,21,27.5,22,35,43,23,35,29,22.8,91,97.6,54,34.8,92,123
HO001201,162.3,66.5,20.4,18.5,23,29,25,35,38,24.5,39.8,29,26.4,96,93,50,36.4,98,130.5
HO001301,147,43.4,24.9,16,21.5,28,20.9,32.5,40,24,30,25,20.6,83.8,79,46.8,32,91,119
HO001401,170.9,65.6,26.8,20,24,32.5,25,37.8,41.8,26,37.2,27,23,97.6,96.2,49.5,32.5,105,140.5
HO001501,147.6,43.3,21.4,15.5,21,28,21.2,34,36,20,31,23,19.4,80.6,89.6,43.6,29,90,117.5
HO001601,168.7,81.3,29.6,18.5,24.5,31,24.2,35,40.5,22,40,34,28.6,102.4,101,56.6,39.4,103,137
HO001701,159.8,62.7,26.6,18.5,21,29,23.4,34.7,37.3,23.4,38,30,25.2,94.5,86.8,53,35.1,98,130
HO001801,151.9,49.8,23.7,16.5,21.5,26.5,22,34.5,37.5,26.5,33,28,22.5,83.5,92,44,32,95.5,121.5
HO001901,149.1,42.6,21.1,16.8,20.4,26.7,23,31.4,36.5,23.8,32,24,20.5,82,86.5,42,32.5,87,117.5
HO002001,168.6,61.3,23.1,20.3,23.4,31,25,37.4,39.7,22.7,35.5,29.5,25.5,93,86,46,34.5,108,138
HO002101,158,49.8,15.6,17,22.3,28.2,23.9,33.3,38.6,22.2,34,23.1,22.8,85.4,79.8,45.4,31,101.8,130
HO002201,157,54.7,27.6,17.7,22,28.3,22.5,33,39.5,22.7,30.3,27.3,22,90,93,44.9,35.6,98,129
HO002301,167,59.7,17,18.9,22.9,29.5,25,,,24.6,38,26.8,24.2,94.5,85,46.8,35,105.3,134.8
HO002401,149.3,49.5,28.3,16.5,20.9,26.4,22.1,34.6,37.3,22.3,32.5,26.1,22.2,90,91.9,45.7,33,87.5,117.5
HO002501,150.1,49.7,27.9,16.2,20.6,28.4,22.5,34.6,37.1,23.1,32.8,27.7,22,86,88,45.9,32.3,88,118.5
HO002601,157,57.4,21.8,17.5,22.8,28.2,22.1,32.2,39.4,22,37,26.4,24.7,89,91.6,48,33.5,96.5,128.5
HO002701,165.9,56.5,17.5,18,24.6,30.4,23.8,,,22.4,35.6,26.2,24,88,89.8,47.5,31.3,102,135.5
HO002801,152.9,38.3,17.7,17.4,20,26.5,21.5,31.4,38.1,25.3,28.7,21.1,18.4,78,81,38,27,91.5,120.7
HO002901,148.8,64.6,36.6,15.8,20.6,28.3,23.2,34.5,35.9,22,36.7,30.5,24.3,97.5,107.6,53.8,36.5,88.5,119
HO003001,159,54.9,19.4,17.7,22.6,29.5,23,34.6,36.6,25,36.4,27.5,24.5,89.5,82.9,44.5,31,95,127.5
HO003101,170.6,62.6,20.5,19.5,24.3,29.6,26.6,36.1,41.7,25.3,34.8,26.2,23,92.9,84.5,49,35.2,103.5,137.5
HO003201,142.5,39.7,22.6,16.5,17.7,27.2,21.6,30,36.7,23.2,28.4,25,19.5,81.8,86,42.2,28.5,83,111.5
HO003301,154.1,59.3,30.8,18.5,21.1,30.2,23.3,32.6,35.2,22.2,35,31.2,23,94.7,92,53.5,36.2,89,122.5
HO003401,167.9,75.1,28.5,20.2,24.3,30.7,25.5,36.2,40.1,26.3,39,29,25,103.4,102,54.1,36.2,99.5,134
HO003501,144.5,62.4,43.8,16.7,21,26.4,22.5,32.2,41.6,23.5,36.5,27.5,26,96.5,107.3,51,35.3,88,119
HO003601,159.4,73.4,26.6,18.5,22.9,30.1,23.8,34.7,38.2,25.7,40.6,31.7,27.5,102.6,97.5,54.3,38.5,94,130
HO003701,147.5,48.2,25.9,17.2,20.2,27,21.5,30.9,32.3,25.5,32,26.5,21.3,88.6,89.8,45.8,32.5,87.5,118.5
HO003801,158,50.9,20.7,18.1,21.8,28.6,22.7,33.5,37.3,25.8,33.9,24.2,21.6,87.9,81.4,43,30.5,95,126
HO003901,147.6,53.2,31,18.6,21.5,30,23.7,33.4,35.3,24.4,32.1,27,23,98.7,93,46,34.5,89,120
HO004001,162.2,53.6,16.9,20.2,22,28.7,24.9,35.7,39.2,25.5,31.8,23.8,20.3,81.5,91,49.9,34,98.7,131.5
HO004101,161.2,73.2,26.7,19.9,24.3,28.9,24.5,35.8,38.3,24.4,38.8,29.7,25.5,102,101,50.5,35.5,100,132
HO004201,166,62.4,18.2,18.1,23.4,32.2,25.4,36.8,37.1,26.5,36.8,28.3,26.8,94.5,84.4,47,36.5,97,132.5
HO004301,152.1,43.7,21.2,16.2,,28.6,22,33,37.6,24.2,30,23.5,21.3,79,85,42,28,90.5,120
HO004401,158.6,55,22.1,19.2,22.6,29,24.5,34.6,38.7,24,35.6,28,23,89.2,84,47.4,32.7,96.5,129
HO004501,153.7,58.4,28.8,18,21,28.7,21.8,33.5,39.5,24,33.5,28.8,24,92.7,85.5,52.2,34.6,90,124.5
HO004601,161,53.7,14.9,18.8,23.5,28.7,24,35.9,40,25.8,36,27.5,24.3,85.3,80,48.9,32.5,99.5,129.5
HO004701,144.7,56.6,,17.4,22.4,28.3,22.8,33.9,39.3,23.6,33.5,29.1,23.9,95,95,49.4,35.2,84.5,117.5
HO004801,141.9,46.1,30.2,15.9,20,25.1,21.2,32.5,36.7,23.5,31.5,24.5,21.4,86.4,91.5,46.2,32.5,87,112
HO004901,158,63,26.7,17.3,22.3,29.6,22.7,35.6,39.8,24.6,37.3,28.8,24.6,94.8,91.5,50.3,35,96.5,129.5
HO005001,156,69.2,,18,21.7,29.3,22.2,37.5,40.5,22.7,35.6,34,24.3,100.2,107.1,47,35.1,96.5,129
HO005101,174.9,69.3,22.4,19.2,24,31.9,25.2,38.5,42.1,25.8,36.8,27.9,26,97.1,87.6,53,35.3,111.6,143.5
HO005201,147,48.3,29.4,16.2,18.8,25,20.9,32.5,36,25.6,30.5,27,23.1,84,87,51.5,36.5,86.5,115.5
HO005301,170.8,78.3,30.7,18.5,24,30.4,25,36.5,40,25.8,39.1,32.4,28,100.7,97,56.5,38.5,104.5,137.5
HO005401,165.4,53,12.7,18.6,22.6,27.8,24.5,35.7,41.3,26.5,35,26.3,24.2,82.8,77,46.3,34.3,105,133
HO005501,163.8,66,26.3,17,22.3,28.9,23,36.4,37.9,27.5,38.5,28.1,26.4,94,88,49.6,36.5,102.5,133.5
HO005601,164.7,71.1,25.6,19,22.4,30,24.5,37.1,37.9,24.6,37.8,30.6,27.8,98.2,85.5,53,39,101.5,135
HO005701,171.4,59.6,22.3,19.5,25.1,33.2,24.6,40.3,41.6,25.8,34,26.2,22.7,92,88.7,48.3,32.3,104.5,141
HO005801,163.9,62,24.8,17,22.1,26.5,23.7,35.3,38.1,25.9,37,27.5,24.8,92.1,82.4,48.1,36.1,98.5,130.5
HO005901,166.6,56.5,15.9,19.5,23.5,28,25,37.9,40.8,26.9,34,29,25.5,90.5,73.3,49.5,35.1,101,131.5
HO006001,179.1,71.9,18.2,20,24.7,31.8,26.5,39.5,40.4,27.2,37,30.9,27,94.8,81,56,37.2,110,145
HO006101,169.3,67.5,17.5,19.8,25,30,25.2,36.3,40.1,26.2,37.5,29.5,26.5,93,92.1,45.7,36,105,137.5
IK000101,163.8,66.5,18.8,17.7,23.2,27.2,24.4,35.8,38.5,24.4,43.5,28.8,25.2,93.1,94.2,50.5,37.4,97.2,129.6
IK000201,161.7,65,21.5,18.9,23.4,29.7,25,34.7,45.5,21.5,37.4,37.6,28.4,25.4,94.5,94.3,47.8,98,130
IK000301,160.4,50.5,9.8,17.3,24.2,29.8,24.2,33.6,37.6,23.8,35.9,24.2,25.5,90.2,84.7,43.7,31.7,96.7,132.4
IK000401,164,58.5,20.7,18.1,22.2,29.5,24.7,35.7,37.1,25.9,39.5,28.3,24.4,91.1,91.3,48.1,32.1,95.9,129.2
IK000501,162.7,55.4,19.9,18.5,22.8,29,24.5,34,41.8,24.4,36.5,27,25.5,90.9,93.3,46.4,32.7,99.5,131
IK000601,159,69.4,22.5,17.5,24.6,30.2,25,35.4,37.4,20.9,37.2,27.4,25.6,105.5,97.5,49,34.7,99.6,129.6
IK000701,170.4,64.3,16.6,19.5,23.2,31.3,26.5,37.6,41.5,25.3,37,26.8,25.4,92,93.7,50.4,36.5,103.3,137.9
IK000801,159.5,52.6,15.2,18,24.4,28.7,24.5,34.3,39.9,24.3,36.5,26.2,24.1,85.4,86.5,44.3,33.5,100.1,128.8
IK000901,162.9,56.6,22.2,20.6,22.6,29.2,26,34.7,38.8,23.7,35.8,26,24.2,90.8,93.7,44.5,31.9,103.4,131.2
IK001001,161.2,74.3,20.3,18.7,24.1,28.2,25.2,37.4,39.5,24.9,39.2,33.2,27.8,102.1,96.3,54.2,41.8,96.8,127.7
IK001101,157.8,52.5,17.3,18.8,22.3,29.7,24.5,34.8,38.7,23,35.6,24.4,24,91.1,91.5,42.8,34.7,98.2,126.4
IK001201,173.8,84.1,21.8,21.3,24.8,30.8,27,39.3,40.8,24.4,41.5,29.8,28.4,107.2,103,53,41.7,108.9,142.5
IK001301,164,59.6,21.8,18.9,22.9,29.8,25,37.2,45.1,22.2,35.5,26.9,25.2,92.3,95,49.8,32.3,101,132.4
IK001401,158.2,52.6,17,17.6,22,27.7,24.1,32.9,38.3,23.8,38,24.6,25,90.1,85.1,48,32.5,94.5,126.4
IK001501,152.9,44.3,13.7,17,21.1,27.9,22.5,34.7,40,23.4,34.3,26,23.8,83.2,85.2,44.4,32.2,91.2,122
IK001601,156.3,66.8,31.8,17.8,22.6,28.1,24.2,33.6,39.3,22.5,39.7,30,25.9,101.2,102.5,50.2,33.8,91.5,122.1
IK001701,171,59.7,14,18.2,25.3,30.7,24.9,37.4,40.6,25,36.7,25.5,24.4,89.4,90.6,46,31.5,101.8,136.3
IK001801,164.5,70.7,22.1,18,22.4,30.7,24.8,36.2,39.4,20.5,39.6,27.2,25.5,96.5,95.2,51.1,37.2,102.9,136.3
IK001901,168.2,49.6,10.7,18.7,24.2,30.6,24.5,37.2,41.2,23.3,34.2,23.3,22.3,84.4,87.6,40.2,29.5,103.7,138.2
IK002001,163.3,55.6,16.4,18.9,24,31.1,24,35.6,38.1,24.9,35.1,26.6,24.5,88.1,89.6,47.5,33.6,98.2,132.8
IK002101,163,61.7,21.2,18.7,23.5,29.1,24.5,34.4,38.4,25,37.4,29,25.5,96.3,94.7,51.5,34.5,100.2,130.5
IK002201,157.4,63,33.6,17.8,20.9,27.5,23.5,32.5,38.8,24.4,37.7,30.6,27.2,96.3,93.7,52.9,32.5,94.5,125.1
IK002301,166,64.5,19.2,19.1,24.6,31.2,24.5,35.9,39.2,24.8,37.7,29,26,91.7,95.2,52.8,36.8,97.4,132.7
IK002401,160.6,60.8,21.4,18.2,23.2,28.8,23,34.3,37.6,22.3,36.8,28.7,25.2,99.5,92.3,50.7,35.8,93.5,126.4
IK002501,160.9,49,12.1,18.7,21.2,29.3,23.5,36.3,36.5,23.7,33.9,25.5,24,85.5,79.6,48.5,34.6,96.5,127.4
IK002601,160.6,50,17.2,16,19.6,26.6,24.5,32.7,36.8,19.6,34.5,26.2,24,87.2,87.3,44.5,32.7,104.4,131
IK002701,155.7,58.7,24.3,19.9,23,28.4,25,35.9,37.2,21,35.6,27.4,24.2,94.1,96.2,50.5,33.8,96.6,128.5
IK002801,165.2,56,22,18.4,23.2,30.7,24.5,34.8,42,23.3,35.9,28,26.1,85,91.5,45.3,31.6,103.6,136.8
IK002901,169.7,61.5,23.2,18,23.9,30.8,24.2,37.7,43.1,23.5,36.5,29,24.4,93.7,95.4,50.5,31.9,106.8,141.1
IK003001,157.3,64,22.3,16.8,22.1,30.2,22.5,34.6,40.8,23,36.5,29,26.9,95.6,95.7,50.2,35.2,95.5,129.5
IK003101,157.7,73.3,39.4,18.6,22,27.1,24.5,35.7,37.4,23.7,35.8,31.2,26.4,100.2,110,57.7,38.7,95.6,124.5
IK003201,157.2,66.5,31.3,17.2,23.8,29.3,24,34.4,36.6,22.1,39,31.5,27.6,94,95.3,58.3,37.3,96.9,126.2
IK003301,169.4,63.2,17.9,18.7,21.7,31.1,24,37.1,44.3,25.6,37.8,28.5,27.1,88,91.6,55.4,37,102.8,135.9
IK003401,166.7,58.6,16.2,18.6,21.7,31.9,24.5,35.9,39.6,24.5,35.1,25,24.2,94.2,92,47.7,34.6,99.5,134
IK003501,152.2,51.4,27.6,17.5,20.6,26.5,22.5,34.1,40.9,24.2,34.2,28.9,23,87.4,90.2,52.2,32.5,93.7,121.9
