#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
OS037401,162.6,61.9,24,17.5,23.6,31,23.8,35.7,41,22.1,37.2,25.6,24.9,96.3,86.4,51.9,33.7,100.1,133.4
OS037501,167.9,64.3,21,19.8,24.6,30.5,26.1,39.4,43.4,22.5,37.3,26.6,25,92.5,91.2,54.3,35,104.8,136.7
OS037601,163.4,58.2,28,18.7,22.6,29.3,23.5,37.1,39.3,23.2,36,25,23,90.4,83,51,32.7,102.5,131.3
OS037701,153.3,58.4,26,16.2,21.2,27.5,22.3,35.2,36.3,21,35,25.3,24.3,90.5,93.3,50,34.9,91.4,121.3
OS037801,164.4,64.9,30,18.2,23.4,31.7,23.9,36.6,40.5,24.2,38.5,27.1,26.2,95.7,98.7,53.5,32.8,101.4,135
OS037901,163.5,56.3,17,18.1,23.5,29.6,23.5,38.4,40,26,36.2,26,24.9,89.6,88,52,33.7,96.5,131.1
OS038001,154.8,52.3,16,18.2,21.4,28.2,22.5,34.7,35,24.2,35,26.9,26.2,85.9,73.7,50.9,36,94.2,124.1
OS038101,157.6,53.9,20,17,21,28.1,21.7,33.9,38.2,24.2,34.6,25.2,24.2,93.3,76.7,50.9,33.9,97.3,125.8
OS038201,166.1,67.2,21,17.8,25.5,28.7,24.5,35.4,37.2,23.6,36.8,27.5,25.7,92.4,88,56.9,37.9,101.9,135
OS038301,154.4,57.4,28,17.8,21.3,27.5,23,32.2,37.4,23.1,37.6,27.2,25.7,88.6,89,50.9,33.2,92.9,123.7
OS038401,168.3,64.4,20.3,19.5,23.1,30.9,24.5,35.9,39.3,24.6,39.3,28.5,25.6,94.1,84.5,51,33.9,101.2,136.5
OS038501,168.1,63.8,27.3,18.1,23.4,31,24.4,38,40,20.9,36.7,25.4,24.4,93.8,87,53.8,33.1,103.5,136.6
OS038601,149.8,54.8,32.7,17.8,20.8,26.6,23.6,35.2,36.2,22.7,33.4,26.6,23.9,86.7,95.9,52.5,34.6,91.3,121.2
OS038701,142.7,53.5,34.8,16.5,19,25.4,21.2,31.1,36.2,22.3,33.8,27.8,23.6,91.7,94.1,52.9,35.2,86.8,113.6
OS038801,144.6,57.2,38.2,16.8,20.2,27.4,21,31.2,34.3,22,31.2,29.9,24.4,91,99,57.6,36.3,89.2,117.2
OS038901,165.6,60.8,24.3,17.9,23.2,29.6,22.3,37.1,38.9,25.5,35.8,27.3,24.3,92.4,87.9,55.7,37,98.3,131.6
OS039001,167.3,79,38.1,18.4,24.2,31,24.4,36.6,41.2,25.6,35.8,33.8,26.8,97.8,106.6,60.7,38.9,100.7,134.2
OS039101,149.8,58,38,17,22.2,27.5,21.9,33.4,36,22.7,35.5,28.3,22.9,90.4,95.7,52.5,32.5,92,122.1
OS039201,146.7,44.1,21.2,16.7,20.7,26.3,21.3,31.5,35.8,23.4,31.3,25,22.2,82.3,83.3,48.4,33.7,87.5,116.9
OS039301,152.6,60.3,32.5,18,20.6,27.9,22.5,33.8,36.5,24,34,28.7,25,96.3,94.3,52,35,92.3,124.4
OS039401,143.3,51.9,34.5,16.7,19.3,26.6,19.9,31.9,34.7,22.2,34.3,27.4,22.5,88.7,95.7,50.7,34.5,88.8,116.7
OS039501,147.7,54.2,27.2,18.1,21.4,27.6,22.5,32.5,36.7,22,35.7,27,23.4,85,88.4,54,35,85.8,117.8
OS039601,141.6,49.8,32.6,16.8,19.5,25.5,22,31.8,32.1,22.3,32.1,27.4,22.6,83.1,90.6,54.2,31.1,84.3,113
OS039701,155.4,54.3,30,17.9,23.7,28,22.5,36.9,39,22.5,32.8,26.7,23.2,88.6,93.9,51.5,31.2,98.5,126.9
OS039801,151,49.9,26.5,17.6,19.8,29.7,22.5,32.3,34.5,24.3,32.5,26.2,23.6,83.5,84,46.7,33,85.8,118
OS039901,154.2,53.5,31.7,17.2,21,27.6,21.8,34.2,37.9,22.4,33,29.5,22.9,84.8,82,49.4,32.6,92.9,124.6
OS040101,152.7,58.3,36.8,16.5,23.5,28.5,23,34.4,38.3,22.4,33.3,27.8,24.3,96.4,96,50.2,34,92,124
OS040201,147.2,62.3,38.8,16.6,21.6,28.6,23,32.9,34.5,21.9,34.2,30.1,24.7,94.9,101.4,58.1,34.6,85.3,116.7
OS040301,146.4,43.9,21,15.1,20.2,27,21,31.8,37.6,24.9,32,22.4,21.2,80.4,86,45,30.1,87.8,116.8
OS050101,158.7,53.2,26.1,17.6,21.8,26.9,23,32.8,38.7,23.2,34.5,24.5,21.5,81,88,51,37,96.1,127
OS050201,161.6,45.9,20,18.6,23.3,26.5,23.2,37.4,40.8,23.1,27.9,22.2,20.1,78.3,84.4,50.4,35.4,101.1,132.2
OS050301,156.5,53.1,25.3,18.1,21,27.5,22.8,34.4,38.9,24.5,34.1,24.5,22,84.8,92,48.8,38,94.6,126.6
OS050501,157.7,51.1,27.2,16.4,22,28.3,22.5,34.4,40.2,24.8,31,24,21.3,82,96.8,49,33,94,125.1
OS050601,154.4,44.8,22.3,16.8,21.2,26,21.5,35,37.9,22.3,29.2,20.5,24.2,78,81.5,52,33.4,92.5,122.4
OS050701,152.9,50.5,28.2,16.6,21.9,27,21.8,32.4,40.1,24.5,30.6,28,23.4,83,92,52.8,34.5,92.6,122.4
OS050801,157,44.7,20,16.2,20.9,27.7,22,34.2,38.6,22.2,29.6,23.8,22,76.2,76,44,33,98,127.6
OS050901,162.2,50.9,21.9,18,21.1,26.5,23.2,33.8,38.2,24.4,31.1,26.3,22.2,83.6,86.5,46.2,34.4,100,131
OS051001,153,44.3,24.5,16.7,21.9,26,21.5,33.1,38.4,22.1,32,22.5,21,80,79.8,47.4,31,92.6,122.4
OS052001,158.1,48.8,25.6,17.7,22.6,27,23.5,34,36.8,24.8,32.2,23,19.7,83,82.2,48.8,32.3,,
OS052101,163.7,51.2,19.6,18,22.1,28.7,23.3,35.9,36,24.1,30.6,22.9,21.9,76.5,77.3,52,32.9,,
OS052201,163.5,56.1,25.8,18.4,22.6,30.9,23.5,36.8,42.4,24.4,36,24.5,23.1,88.8,78,53.4,35.4,,
OS052301,163.1,55.5,21.9,17.9,22.7,30,23,35.6,37.6,25.1,32.3,25.2,21,84.8,86.2,53.8,35.2,,
TK000101,165.9,83.2,29,18.1,23.9,30.3,24.8,36.8,45.6,23.2,41.6,30.6,28.5,103.7,101.4,60,43.8,,
TK000201,172.3,68.9,27,19.1,24.1,31.7,24.9,37.7,44.4,25.6,38.7,28.2,26.2,96.5,92.3,54.5,35.2,,
TK000301,175,63.8,21,18.5,25.3,30,25.3,37.7,42.7,24.9,35.9,28.3,27.5,93.1,85.8,54.9,35.8,,
TK000401,169.3,60.4,15,20,23.7,29.7,26,37.9,39.7,25.2,35,27.2,25.6,90.5,87,51.2,37.3,,
TK000501,170.8,63.8,18,18.1,24.2,30.2,24.5,35.5,41.5,27,40.7,27.8,25.5,90.6,86.7,52.4,36.8,,
TK000601,170.5,61.3,17,19.3,24.1,29.5,24.7,37.3,41.4,24.7,37.6,29.5,26.9,93,84.8,52.8,36.8,,
TK000701,170.9,84.3,26,18.7,24.3,30.8,25,37.4,42.3,23.1,42.7,31.5,27.6,102.8,101.3,62.4,42.3,,
TK000801,163,57.3,17,18.1,23.5,29.6,23.8,34.3,42.3,23.8,34.6,25.7,24.3,93.8,84.7,50.5,37.8,,
TK000901,163,54.9,23,17.8,24.2,31,23.6,37.3,44.3,25,33.2,28.6,24.2,85.3,90,53.5,33.1,,
TK001001,154.4,43.1,20,16.4,22.6,28,21.8,34,42,23.9,31,21.3,20.1,79.5,80,48.5,33.3,,
TK001101,163.6,64.1,21,17.9,23,30.4,23.8,33.7,40.2,21,38.8,28.3,26.5,96.3,89.9,52.5,36,101.5,135.8
TK001201,154.8,59.1,33,17.4,21,28.5,22.9,28.9,41.4,22.7,36,28.5,24,91.2,97.2,55.5,35.7,,
TK001301,148.5,58.1,36,16.8,22.8,27,23.2,33.7,35.2,23.4,37,28.5,24.4,92.4,97,54.7,33.6,,
TK001401,154.7,52.7,16,17.7,21.9,28.5,23.8,32.3,42,22.8,35,26.3,24.5,90,87,48,33.7,,
TK001501,149.3,56.1,35,18.5,22.6,30.5,22.3,32.1,43,21.2,32.8,27.7,24,92,99.8,52,34.6,,
TK001601,161.9,63.5,22,17.8,22.5,29.2,24,34.2,39.3,24.1,37,27.5,24.8,97,92,51.8,35.8,,
TK001701,152.7,49.8,30,17.2,21,27,23.4,33.4,37.8,22.5,32.7,27.2,22.3,88.1,90.4,52,33.3,,
TK001801,156.4,60.1,35,18.3,22,28.3,22.8,34,39.4,23,34.3,28.2,24.3,91.7,95,51.4,33.6,,
TK001901,153.1,49.4,16,17,21.2,27.3,23,32,37.6,22.7,35.4,25.5,22.5,85.5,83.3,48.1,32.2,,
TK002001,157.6,63.6,39,18.2,21.9,28.6,23.2,33.5,43,24.8,39.3,29.4,26.7,96.7,96.7,51.6,35.3,,
TK002201,161.1,58.9,20,17.9,22.5,29.8,23,31.3,44.7,22.5,38.5,26,24.3,89.7,90.9,48.1,34,,
TK002301,153.2,49,28,17.3,21,28.5,22.3,34.2,39.4,23.2,33.2,24,21.6,87.1,91.8,45.8,32,,
TK002401,152.3,56.6,31,17.5,21.5,25.8,23.1,33.5,39,23.4,35,24.6,23.8,92.8,91.5,50.3,32.8,,
TK002501,147.1,57.1,32.7,17,21.2,27,21.5,31.7,41.5,20.3,35.3,29,24.2,91.2,98.2,50.5,35.2,,
TK002601,161.3,69.8,25,17.9,23.1,29.6,23.6,34.7,40.6,23.5,40.3,29,27.1,102.2,99.5,53.1,37.9,,
TK002701,156,70.1,35,17,21.4,27.2,23.8,31.6,38.9,24.1,36.8,30.3,24.5,98.5,103.3,61.7,39.6,93.5,122.9
TK002801,154.3,55.6,20,16.6,21,27,22.9,32.2,41.3,23.4,38,26.9,24.8,91.4,89.8,45.4,34.7,,
TK002901,151.6,45.1,23,16.8,21.3,27.3,23.2,34.5,37,23.6,33.3,24.7,21.1,81.6,83,47.2,30.8,,
TK003001,166.2,54.3,13,18.8,24.8,30.1,24.3,35.4,40,23.4,37,26.2,24,88.8,84.6,48,35,,
TK003101,178,56.6,12,19.5,27.5,32.8,26.8,39.4,47.3,23.5,35.4,24.2,24.6,86.5,86.5,46.5,34,,
TK003201,175.2,57.3,15,18.8,23.9,28.8,26,37.8,41.6,27,38.5,25.5,24.3,86.3,88.5,51.3,34.4,,
TK003301,171.3,62.2,16,18.1,25.4,29.5,24.8,38.3,42.1,25.5,38.4,26.9,23.8,90.3,87.5,53,36.5,,
TK003401,153.7,49.3,25,17,21.6,27.5,23,34.5,37,25.2,32.6,26,22.1,82.6,85.6,54,33.9,,
TK003501,171.1,93.4,25,19.6,24.7,32,25,40.9,42,23,45.2,32.4,29.7,110.3,102.6,61.2,42.3,,
TK003601,154.8,53.3,18,17.7,23.4,26.8,23.7,32.5,38.8,24.1,35.4,26.2,21,91.6,83.5,47.7,37,,
TK003701,161,65.7,21,17.3,23.4,28.9,23.9,34.9,41.2,23.3,38.5,30.3,27.8,93.5,89.8,56.8,39,,
TK003801,170.2,61.4,13,18.5,24.5,29,24.8,35.8,41.3,25.8,34.2,28.9,26.1,91.1,90.2,53.1,38.9,,
TK003901,165.9,63.2,21,18,24.5,29.6,24.1,36.3,40.8,24,36,25.1,24.8,92.5,91.7,52.2,32,,
TK004001,150.7,41.3,23,17.1,20.9,28.6,21.4,31.8,38,22.7,32,22.8,20,78.8,86.9,44.3,28,88,120.6
TK004101,148.7,41.4,23,18.4,21.4,28,23.2,30.7,38.3,22.4,31.8,28.3,29.9,78,84,47.7,30.5,90.9,119.4
TK004201,146,50,30,18,21.3,28.2,22.8,31,38.1,20.6,35,25.3,22.9,86.3,92.1,52.5,31.2,86.4,116.5
TK004301,146.4,66.2,41,18.7,21.3,29.3,24.3,33.1,40.7,22.5,36.5,26.1,22.8,97.5,114,53.3,32,87.3,118
TK004401,161.6,57.5,15,18.7,23.7,30.1,24.3,36.2,41.5,23.6,35.5,22,22.4,87.2,89.6,47.6,33.2,99,130.2
TK004501,173.7,69.1,22,19.8,25.1,31,25.4,35.7,42,24.5,37,26.5,25.9,95.1,96.7,52.8,35,107.6,141.3
TK004601,164.3,63.3,22,19.1,24.6,32.1,25,36.5,42.3,23.4,37,25.5,24.1,93.7,93.2,48.2,33.3,103.4,137
TK004701,165.9,59.1,16,19.8,23.3,30.3,25.8,35,42,25.3,36.3,26,26.3,92.3,86.5,50.8,35.2,100.8,133.6
TK004801,159.1,47.4,11,17.7,21.8,28.5,24.7,34.3,40.7,23.2,36,22.5,23.3,86.6,83.1,45.9,31,95,127.5
TK004901,154.2,56.9,23,16.2,23,27.6,21.2,30.8,37.6,22,36.6,26.5,25,96.8,92.4,49.5,35.8,95,122.8
TK005001,157.4,47.1,23,17,22,28.2,23,30.9,40.1,25,32.5,23.2,21.5,83.4,84.1,51.4,33.8,96.1,126.4
TK005101,155.5,72.6,39,17,21.6,29.8,24.2,33.5,42.3,22.3,42,30.8,27.6,103.2,105.3,56.3,39.2,,
TK005201,156.2,59.6,32,18.1,21.7,28.2,22.7,31.7,40.8,24.3,36,27.1,25.1,91.3,95.5,53.6,37.1,95,127.3
TK005301,151.1,51.9,27,18.1,21.8,29.1,23.1,31.9,40.6,22.3,33.5,25,22.8,88.8,95.5,49,31.3,90.3,120.8
TK005401,136.8,46.2,36,18.8,19.8,26.2,21.5,30.6,40.6,21.8,33.5,28,21.8,86.6,100,49.5,30.8,81.1,108.3
TK005501,143.2,40.5,23,16.8,20.2,26.2,21.8,32,37.3,21.4,32.2,24.1,19.7,79.5,85.3,46.5,30.2,85.7,113.7
TK005601,157.6,53,13,17.6,23.3,30.5,24.7,33.8,41.3,23,35.3,26,25.6,91.1,84.5,48.2,35.9,92.7,126.5
TK005701,162.9,43.3,8,17.3,22.6,30.6,24.3,34,41,23.3,35.5,22,21.5,82,81,42,30.2,99.6,132.1
TK005801,157.8,64,21,17,22.9,30.6,23,33.9,40.8,22.1,39.4,27,26.5,97,91.8,54.6,36.7,96,129.9
TK005901,160.8,59.7,28,18.8,23.6,29,24.8,34,40.4,22.7,37,25.5,21.8,87.3,90,57.2,35,97.2,129
TK006001,164.8,59.4,19,19.6,22.5,27.5,26.4,33.6,41.1,22.6,37,25.3,24.8,94.4,88.6,49.4,32.5,102.2,133.5
TK006101,148.8,40.3,21,18.5,22,28.9,22.6,31.6,42.8,22.4,32.9,21.7,20.9,81.7,81.7,45.7,28.3,90.4,121.7
TK006201,157,59.2,22,17.4,21.7,28.1,24,31,39.1,22.9,37.5,27,26.2,93,93,50.5,35.3,97,127
TK006301,144.9,48.7,30,17,20.1,27.9,22.6,30.7,40.2,23.7,35.3,25.8,23,86.2,89.7,45.3,33.2,85.8,117.5
TK006401,160.4,63.3,25,18,24.2,29.3,23.8,34.4,44,24.5,39.4,26.7,25.9,99.2,95,49.1,34.5,97.3,130.5
TK006501,158,54.2,14,17,21.6,30.3,23.5,31.7,41.3,23,37.4,23.3,23.8,91,86.6,49.1,35.6,94.2,128
TK006601,159.1,64,32,18.3,22.2,30.1,23.3,34,41.7,22.3,36.7,28.3,25,89.5,101.1,53.5,37.2,94.3,128.2
TK006701,148.5,55.5,30,16.7,20,25.6,22,30.8,40.5,22.6,34.8,26,24.1,92,96.3,51.6,35.9,91.1,119.2
TK006801,168,67.3,23,18.5,23.5,31.5,23.3,34.7,41.4,23.8,38,27.6,26.8,96.6,98.4,51.7,35.2,103.2,137.5
TK006901,156.1,44,15,18,22.2,30.3,24.2,33.5,43.5,21.3,31.5,21.6,20,80.3,86.2,43.3,29.8,97.6,129.2
TK007001,160.5,63.5,29,18.6,21.9,29.3,24.3,33.6,41.2,24.5,37,29.2,26,87.5,98.2,58.6,38.6,96.4,127
TK007101,159.5,64.2,23,19.6,23.6,31.7,24.8,33.7,44.2,22.5,38.8,26.6,25.4,97.5,98.3,54,37.2,98,131.3
TK007201,166.3,60.7,22,18.8,23.2,30.8,25.3,34.2,42,23.8,37.2,26.4,25,90.5,89.5,51.4,34.9,101.7,135.1
TK007301,157.5,54.3,24,18.2,22.4,30,23.5,34.1,41,22.9,34.6,25.5,24.1,86.6,93.1,54.5,34.9,96.6,127.7
TK007401,158.7,48,23,18.6,21.9,28.8,23.3,33.2,40.8,24.4,32,24.2,22.4,84,86.1,47.7,30.7,96.9,127
TK007501,159.7,51.8,18,18,23.5,28.8,24,32.5,40.7,24,36.5,24.6,23.8,91.3,83.4,46.5,32.5,98.5,127.3
TK007601,147.7,45,27,16.3,18.7,27.5,21,28.6,39.2,22.5,31.5,24,21,83.5,87.5,49.8,30.2,90.5,120.1
TK007701,149.1,39.1,19,17.7,20.4,26.7,22.8,31,38.4,21.4,30.5,22.6,21.5,79.8,81.3,45,31.5,89.6,118.8
TK007801,169.2,84.4,27,20.1,24.4,32.3,25.5,35,46.1,21.5,44.1,30,28.3,109.2,99.5,56.6,41.3,105.5,141
TK007901,169.3,55.1,13,19,25,32.5,25.2,37,43.6,23,34.8,23.7,24.2,91.2,88.1,46.1,35.1,100,135
TK008001,160.9,65,38,17.6,21.6,28.7,22.3,33.6,41.3,23,36.5,29.2,25.4,96,102.1,52.6,34.5,99.2,131.5
TK008101,158.3,57.2,33,18,21,28.1,23.5,32.1,40.5,24,33,26.8,23,87,100.3,59.8,36,95,127.7
TK008201,177.3,62.25,14,20.2,26,34,26.8,38,45.2,24.2,37.5,24.5,25.5,90.6,88,49.6,36,107.5,144.7
TK008301,153.3,50.1,29,17.8,21.6,29.4,22.5,31.5,42.5,21.6,33,24.8,23,89,87.3,47,31,90.8,123
TK008401,173.4,59.6,19,19.5,24.1,32.5,26.2,35.9,44.7,23.5,35,24.8,25.2,87.3,92,49.2,34,105,142
TK008501,158.5,55.5,22,18,23.2,30,24,33.6,42.5,21.5,37.2,24.5,25.5,91,87.2,48.5,33.3,98.2,130.5
TK008601,152,54.6,18,18.5,22.1,28.3,23.1,32,39,21,38,27.3,25,92,86,49,34.5,92.3,123.2
TK008701,143.6,46.8,31,16.8,20.4,27.4,21.4,30.1,38.2,22,33.4,24.2,22.2,85.3,89.4,47.5,32,83.8,115
TK008801,140.4,45.1,27,16,18.5,26.5,20.2,27.5,37.5,20.8,32.8,25.1,22.8,84,91.5,47,32.7,87.3,115.6
TK008901,152.5,66.7,33,17.5,21.5,27.2,24.2,32.4,39.5,21.9,37.1,32,27,95.6,101,56.7,39.7,93.1,123.1
TK009001,158.7,51.3,19,18.5,22.6,27.3,23.6,33,40.5,21.6,36.1,22.9,23.6,89.2,85.1,45.6,32.6,97,127.5
TK009101,160.9,47.4,20,17.9,22,28.6,24.2,33,42.1,24.2,33,23.1,21.6,85,86,48.2,30.7,96.7,130.2
TK009201,152.3,55.8,29,17.6,20.8,28.1,22.8,30.7,42.6,21.1,34.4,26,25,89.5,90,50.2,37.4,94.4,125
TK009301,143.6,42.1,24,17.2,20.2,28.9,21.7,29.1,38.3,19.4,31,21.5,21.7,83,86.8,41.2,29.5,82.6,116.4
TK009401,165.3,54.5,15,18.4,23,30.2,24,34.1,40.7,24,37.5,23,24.7,90.8,85.2,46.5,33.2,99.9,131.6
TK009501,157.7,51.1,16,18.6,21.7,30.5,22.6,31.5,40,23.2,32.5,22.2,22,83.4,87,46.5,33.4,93.8,127.5
TK009601,144.7,47.2,28,17.4,20,27.7,22.3,29.5,37,20.4,32,25,22.1,86,93,46.5,29.2,86.3,116.7
TK009701,169.4,74.05,23,20,24,32.2,24.8,34.7,44.3,23,37,27,24.5,99,100.5,56.6,39.6,104.3,139.5
TK009801,161.1,50,17,19,23,30,24.5,33,42.3,21.4,34.1,24.1,23.6,89,81.5,45.5,32.2,97.8,134.6
TK009901,151,54.8,31,17,21.2,29,22.5,31.1,39,23,35,25.5,22.5,88,96.4,51.6,32.3,88.5,121.9
TK010001,164.5,52.3,20,17.7,22.3,30.4,24.8,35.2,40.9,24.6,35,25,23.1,88.1,85,48,31.5,98.3,132.5
TK010101,178.5,76.8,21,20.2,24.8,31.1,26.3,36.5,44.4,24.8,39,31.2,29.5,101.5,95,57,38,109.7,144.1
TK010201,158,47.5,22,18,22,29,24.5,33,41.4,23,30,23.7,21.8,79.5,84.7,51.8,33.1,95.9,128
TK010301,161.4,50.3,25,17.5,22,28.9,23,33.2,41.7,24.4,32,23.7,22.5,84,85.4,53.7,31.7,98.6,130.8
TK010401,170.1,61.6,23,18.1,24.7,30.1,24.8,36.2,44.3,22,37,26.2,25.3,95,89,51.5,34.5,104.6,139.8
TK010501,155,65.8,37,,22,29,23,31.6,41.8,23.7,34,26,24.3,88,96.5,62.8,39.5,91.5,125.2
TK010601,164.3,57.65,25,17.4,23,31.1,22.7,32.3,42.4,23.6,33.1,25,22.8,91,83.5,55,36.5,98.5,132.6
TK010701,176.4,58.4,19,19.3,27.4,32.7,25.6,38.1,46.9,23.4,34.1,26.1,26,92.1,87,50.7,33.1,107.6,147.4
TK010801,160.9,57.25,27,17,23.6,30,22.6,33.3,44.2,22.4,31.5,25.1,22.7,90,91,56.2,35.4,98.7,132.5
TK010901,154.6,52,28,16.6,21.1,29.7,22.9,32.1,39.2,22.8,31.5,25.1,22.7,86.5,87.3,54.7,35.9,92.3,124.5
TK011001,175.5,81.6,24,19,25.4,32.2,26.3,37.2,42.7,24.5,37,27.1,26.3,102.3,99.5,64.2,41.2,107.5,144
TK011101,150.5,48.95,28,17.4,21.2,27.2,22.3,30.4,40.4,23.1,32.1,24.7,22.5,89.4,89.6,51,33.2,92.3,122.5
TK011201,165,60.9,20,18.4,23.5,29.6,25.6,34.6,41.9,24.2,37,25.9,25.1,92.4,86.8,53.5,34.4,98.1,132
TK011301,153.4,46.6,22,16.4,20.2,26.1,21.2,31.4,40.9,23.3,32,22.3,22.3,79.7,81,50.2,31.8,93.1,123
TK011401,168.8,46.7,12,18.8,25,30.6,24.5,34.5,44.9,23.5,34.5,21.4,22,84.5,78,45,28.8,103.3,136.7
TK011501,156.9,58.6,34,16.1,21.8,28.1,20.5,31.1,40.6,23.5,34.5,26.5,25.1,91,95.6,58,35,96.3,127.2
TK011601,155.9,61,36,17.7,21.6,27.8,22.3,33.4,38,23.6,34,27.3,24.9,89,93.2,58.6,37,96.7,127.3
TK011701,165.8,55.95,19,19,24.6,32.1,24,34.8,41.4,26.3,36,25.4,23.6,92.5,87.7,49.7,32.5,100,132.4
TK011801,152.7,49.7,28,17.3,20.2,26.5,22.6,31,39.1,23.1,32.8,25,22,84,89.2,52.2,33.5,92.5,122.5
TK011901,157.8,66.8,35,18.1,21.8,30.8,24.4,32.8,42.7,20.7,37.7,27,24.2,95,109.5,56.1,36.3,96.1,132.1
TK012001,143.6,46.25,29,17,19.8,27.7,21.8,29.3,37.4,23.1,32.3,25.7,22.7,86.3,86.4,52.7,34,84.9,115.7
TK012101,165.8,60.47,26,18.6,24.6,31,25.2,36.1,41.1,22.2,32,24.6,23,88,91.1,57.2,35.5,102.2,137.5
TK012201,162.5,58.3,18,17.2,23.6,30.9,23.2,33,43.1,24,36.7,25.5,25,91,89.1,50.2,34.7,97.3,133.3
TK012301,159.1,58.2,28,17.5,22.1,29.1,23.8,32.8,41.8,22.8,34.5,25.8,24.9,87.7,90.3,56,37.2,97,129.6
TK012401,177,72,25,20,26.7,32.2,26.3,38.8,45.4,26.1,37.8,28.1,27.2,99.4,98.1,53.2,35.3,109.5,145.6
TK012501,145.5,45.7,30,17.4,20.6,26.9,21.6,30,40,22.2,32.2,24,21,83.1,85.8,51,31.7,88.1,117.6
TK012601,159,52.95,18,18.3,24.7,29.5,24.6,32.3,41.4,24,36.5,25.5,25.1,90,83,47.1,32.5,96.1,129.4
TK012701,181.7,68.8,18,19.6,26.5,33.2,27,38.8,45.4,25.5,39.1,26.1,25.6,95.6,94,49.8,36,108,145.1
